"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"C",3,27,-0.5,"remove",596,596,2013-11-10,1,2,2,4,NA,2014-05-16,"1",NA,NA
"C",3,27,0.5,"control",597,597,2013-11-10,1,2,1,4,NA,2014-05-16,"0","dry no lvs",NA
"C",3,35,0.5,"control",799,799,2013-11-10,1,2,3,5,NA,2014-05-16,"0","dry gray",NA
"C",3,37,-0.5,"control",598,598,2013-11-10,1,3,3,5,NA,2014-05-16,"1",NA,NA
"C",3,45,0.5,"control",801,801,2013-11-10,1,2,2,4,NA,2014-05-16,"1",NA,NA
"C",3,49,-0.5,"control",600,600,2013-11-10,1,4,3,5,NA,2014-05-16,"1",NA,NA
"C",3,49,0.5,"remove",601,601,2013-11-10,1,4,3,5,NA,2014-05-16,"1",NA,NA
"C",3,55,-0.5,"control",802,802,2013-11-10,3,1,1,3,NA,2014-05-16,"0","no lvs",NA
"C",3,55,0.5,"remove",803,803,2013-11-10,1,2,1,4,NA,2014-05-16,"1",NA,NA
"C",3,56,0.5,"remove",603,603,2013-11-10,1,3,3,5,NA,2014-05-16,"1",NA,NA
"C",3,65,-0.5,"remove",804,804,2013-11-10,1,3,3,2,NA,2014-05-16,"1",NA,NA
"C",3,65,0.5,"control",805,805,2013-11-10,1,4,3,5,NA,2014-05-16,"1","no lvs, changed status from 0 to 1 because it was recorded alive on 5-21-14",NA
"C",3,67,-0.5,"remove",604,604,2013-11-10,1,3,2,6,NA,2014-05-16,"1",NA,NA
"C",3,67,0.5,"control",605,605,2013-11-10,1,2,1,4,NA,2014-05-16,"1",NA,NA
"C",3,75,-0.5,"control",806,806,2013-11-10,1,4,2,4,NA,2014-05-16,"1",NA,NA
"C",3,75,0.5,"remove",807,807,2013-11-10,1,2,1,6,NA,2014-05-16,"1",NA,NA
"C",3,77,-0.5,"control",606,606,2013-11-10,1,4,2,3,NA,2014-05-16,"0","no lvs",NA
"C",3,84,-0.5,"remove",808,808,2013-11-10,1,2,1,5,NA,2014-05-16,"0","no lvs",NA
"C",3,87,-0.5,"control",608,608,2013-11-10,1,1,1,3,NA,2014-05-16,"0","no lvs",NA
"C",3,87,0.5,"remove",609,609,2013-11-10,1,1,1,3,NA,2014-05-16,"0","no lvs",NA
"C",3,95,0.5,"remove",811,811,2013-11-10,1,3,3,8,NA,2014-05-16,"1","healthy! ",NA
"C",3,97,-0.5,"control",610,610,2013-11-10,1,2,3,5,NA,2014-05-16,"1","healthy! ",NA
"C",3,97,0.5,"remove",611,611,2013-11-10,1,3,1,3,NA,2014-05-16,"0","no lvs",NA
"G",1,6.1,-0.5,"remove",148,148,2013-10-27,1,77,37,39,NA,2014-05-15,"1",NA,NA
"G",1,12.1,-0.3,"control",149,149,2013-10-27,1,45,30,50,NA,2014-05-15,"1",NA,NA
"G",1,18.3,0,"control",150,150,2013-10-27,1,33,39,44,NA,2014-05-15,"1",NA,NA
"G",1,23.6,1.3,"control",151,151,2013-10-27,1,94,54,75,NA,2014-05-15,"1",NA,NA
"G",1,29.3,0.4,"remove",152,152,2013-10-27,1,40,32,41,"some leaves falling off",2014-05-15,"1","barely alive",NA
"G",1,36.1,0.3,"control",153,153,2013-10-27,1,65,64,65,NA,2014-05-15,"1",NA,NA
"G",1,42.2,0.6,"control",154,154,2013-10-27,1,25,28,26,NA,2014-05-15,"1",NA,NA
"G",1,47.4,-0.4,"remove",155,155,2013-10-27,1,50,58,50,NA,2014-05-15,"1","broken branch",NA
"G",1,54.4,0.5,"control",156,156,2013-10-27,1,31,18,36,NA,2014-05-15,"1",NA,NA
"G",1,56.5,0.5,"remove",157,157,2013-10-27,1,115,35,48,NA,2014-05-15,"1",NA,NA
"G",1,66.4,0.2,"remove",158,158,2013-10-27,1,31,31,36,NA,2014-05-15,"1",NA,NA
"G",1,71.8,0,"remove",159,159,2013-10-27,1,124,86,65,NA,2014-05-15,"1",NA,NA
"G",1,77.9,0.6,"control",160,160,2013-10-27,1,47,32,57,NA,2014-05-15,"1",NA,NA
"G",1,83.3,0.3,"removal",161,161,2013-10-27,1,68,43,65,NA,2014-05-15,"1","switched trtment",NA
"G",1,90.2,0.6,"remove",162,162,2013-10-27,1,27,30,43,NA,2014-05-15,"1",NA,NA
"G",1,95.4,0.1,"remove",163,163,2013-10-27,1,81,42,60,"aphids and ants",2014-05-15,"1","ants on plant",NA
"G",3,5,-0.5,"control",732,732,2013-10-27,1,3,2,5,NA,2014-05-15,"1",NA,NA
"G",3,7,-0.5,"control",532,532,2013-10-27,1,2,1,3,NA,2014-05-15,"1",NA,NA
"G",3,7,0.5,"remove",533,533,2013-10-27,1,2,1,5,NA,2014-05-15,"1",NA,NA
"G",3,15,-0.5,"control",734,734,2013-10-27,1,2,1,3,NA,2014-05-15,"0","dry gray",NA
"G",3,17,-0.5,"remove",534,534,2013-10-27,1,2,2,5,NA,2014-05-15,"0","browsed",1
"G",3,25,-0.5,"remove",736,736,2013-10-27,1,2,2,4,NA,2014-05-15,"1",NA,NA
"G",3,25,0.5,"control",737,737,2013-10-27,0,NA,NA,NA,NA,2014-05-15,"NA",NA,NA
"G",3,27,-0.5,"control",536,536,2013-10-27,1,3,1,5,NA,2014-05-15,"1",NA,NA
"G",3,35,-0.5,"control",738,738,2013-10-27,1,3,2,5,NA,2014-05-15,"1",NA,NA
"G",3,37,-0.5,"remove",538,538,2013-10-27,1,3,4,9,NA,2014-05-15,"1",NA,NA
"G",3,37,0.5,"control",539,539,2013-10-27,1,2,3,4,NA,2014-05-15,"1",NA,NA
"G",3,45,-0.5,"control",740,740,2013-10-27,1,2,2,4,NA,2014-05-15,"0","dry curled up lvs",NA
"G",3,45,0.5,"remove",741,741,2013-10-27,1,3,2,4,NA,2014-05-15,"0","dry gray",NA
"G",3,47,-0.5,"remove",540,540,2013-10-27,1,3,4,6,NA,2014-05-15,"0","browsed",1
"G",3,47,0.5,"control",541,541,2013-10-27,0,NA,NA,NA,NA,2014-05-15,"NA",NA,NA
"G",3,55,-0.5,"control",742,742,2013-10-27,1,3,3,5,NA,2014-05-15,"1","resprouting",NA
"G",3,55,0.5,"remove",743,743,2013-10-27,1,2,3,6,NA,2014-05-15,"1","resprouting",NA
"G",3,57,-0.5,"control",542,542,2013-10-27,1,3,4,6,NA,2014-05-15,"1",NA,NA
"G",3,57,0.5,"remove",543,543,2013-10-27,1,3,2,4,NA,2014-05-15,"1",NA,NA
"G",3,65,-0.5,"remove",744,744,2013-10-27,0,NA,NA,NA,NA,2014-05-15,"NA",NA,NA
"G",3,65,0.5,"control",745,745,2013-10-27,1,4,2,6,NA,2014-05-15,"1",NA,NA
"G",3,67,0.5,"control",545,545,2013-10-27,1,3,3,5,NA,2014-05-15,"0","dry gray",NA
"G",3,75,-0.5,"control",746,746,2013-10-27,1,2,1,4,NA,2014-05-15,"1",NA,NA
"G",3,75,0.5,"remove",747,747,2013-10-27,1,3,2,6,NA,2014-05-15,"1",NA,NA
"G",3,77,-0.5,"remove",546,546,2013-10-27,3,1,1,4,NA,2014-05-15,"0","browsed",1
"G",3,85,-0.5,"remove",748,748,2013-10-27,1,2,1,4,NA,2014-05-15,"0","dry no lvs",NA
"G",3,85,0.5,"control",749,749,2013-10-27,1,1,1,4,NA,2014-05-15,"1",NA,NA
"G",3,87,-0.5,"control",548,548,2013-10-27,1,1,2,4,NA,2014-05-15,"1",NA,NA
"G",3,87,0.5,"remove",549,549,2013-10-27,1,1,1,4,NA,2014-05-15,"1",NA,NA
"G",3,95,-0.5,"control",750,750,2013-10-27,3,1,1,4,NA,2014-05-15,"0","dry gray",NA
"G",3,95,0.5,"remove",751,751,2013-10-27,3,1,1,2,NA,2014-05-15,"0","browsed",1
"G",3,97,-0.5,"control",550,550,2013-10-27,0,NA,NA,NA,NA,2014-05-15,"NA",NA,NA
"G",4,3.8,0.4,"remove",66,66,2013-10-27,1,5,2,4,"chewed on",2014-05-15,"0","dry no lvs",NA
"G",4,4.9,0.8,"control",67,67,2013-10-27,1,2,1,7,NA,2014-05-15,"1",NA,NA
"G",4,5.4,2.7,"control",853,74,2013-10-27,1,3,5,6,NA,2014-05-15,"1",NA,NA
"G",4,5.7,0.1,"remove",68,68,2013-10-27,1,2,2,5,NA,2014-05-15,"0","dry no lvs",NA
"G",4,15.4,-2.2,"control",854,77,2013-10-27,1,4,3,8,"stepped on",2014-05-15,"1","good",NA
"G",4,45.6,-0.9,"control",70,70,2013-10-27,1,7,6,7,NA,2014-05-15,"1",NA,NA
